source,end,weight
0,1,13
0,19,16
1,0,13
1,2,1
1,20,4
2,1,1
2,3,4
2,21,8
3,2,4
3,4,10
3,22,19
4,3,10
4,5,5
4,23,7
5,4,5
5,6,13
5,24,2
6,5,13
6,7,7
6,25,8
7,6,7
7,8,15
7,26,18
8,7,15
8,9,6
8,27,14
9,8,6
9,10,9
9,28,10
10,9,9
10,11,17
10,29,6
11,10,17
11,12,16
11,30,16
12,11,16
12,13,1
12,31,19
13,12,1
13,14,4
13,32,18
14,13,4
14,15,15
14,33,8
15,14,15
15,16,1
15,34,2
16,15,1
16,17,10
16,35,1
17,16,10
17,18,11
17,36,4
18,17,11
18,37,12
19,0,16
19,20,19
20,1,4
20,19,19
20,21,3
21,2,8
21,20,3
21,22,1
22,3,19
22,21,1
22,23,1
23,4,7
23,22,1
23,24,5
24,5,2
24,23,5
24,25,6
25,6,8
25,24,6
25,26,7
26,7,18
26,25,7
26,27,9
27,8,14
27,26,9
27,28,18
28,9,10
28,27,18
28,29,16
29,10,6
29,28,16
29,30,5
30,11,16
30,29,5
30,31,10
31,12,19
31,30,10
31,32,11
32,13,18
32,31,11
32,33,2
33,14,8
33,32,2
33,34,2
34,15,2
34,33,2
34,35,8
35,16,1
35,34,8
35,36,10
36,17,4
36,35,10
36,37,4
37,18,12
37,36,4
