source,end,weight
0,1,6
0,18,12
1,0,6
1,2,13
1,19,9
2,1,13
2,3,10
2,20,12
3,2,10
3,4,6
3,21,16
4,3,6
4,5,1
4,22,17
5,4,1
5,6,2
5,23,13
6,5,2
6,7,8
6,24,14
7,6,8
7,8,7
7,25,19
8,7,7
8,9,6
8,26,19
9,8,6
9,10,12
9,27,11
10,9,12
10,11,15
10,28,19
11,10,15
11,12,5
11,29,10
12,11,5
12,13,18
12,30,1
13,12,18
13,14,14
13,31,10
14,13,14
14,15,10
14,32,8
15,14,10
15,16,2
15,33,1
16,15,2
16,17,18
16,34,9
17,16,18
17,35,14
18,0,12
18,19,16
19,1,9
19,18,16
19,20,11
20,2,12
20,19,11
20,21,9
21,3,16
21,20,9
21,22,8
22,4,17
22,21,8
22,23,4
23,5,13
23,22,4
23,24,7
24,6,14
24,23,7
24,25,18
25,7,19
25,24,18
25,26,4
26,8,19
26,25,4
26,27,5
27,9,11
27,26,5
27,28,18
28,10,19
28,27,18
28,29,12
29,11,10
29,28,12
29,30,13
30,12,1
30,29,13
30,31,17
31,13,10
31,30,17
31,32,14
32,14,8
32,31,14
32,33,10
33,15,1
33,32,10
33,34,19
34,16,9
34,33,19
34,35,16
35,17,14
35,34,16
