source,end,weight
0,1,13
0,16,16
1,0,13
1,2,1
1,17,4
2,1,1
2,3,4
2,18,8
3,2,4
3,4,10
3,19,19
4,3,10
4,5,5
4,20,7
5,4,5
5,6,13
5,21,2
6,5,13
6,7,7
6,22,8
7,6,7
7,8,15
7,23,18
8,7,15
8,9,6
8,24,14
9,8,6
9,10,9
9,25,10
10,9,9
10,11,17
10,26,6
11,10,17
11,12,16
11,27,16
12,11,16
12,13,1
12,28,19
13,12,1
13,14,4
13,29,18
14,13,4
14,15,15
14,30,8
15,14,15
15,31,1
16,0,16
16,17,2
17,1,4
17,16,2
17,18,10
18,2,8
18,17,10
18,19,1
19,3,19
19,18,1
19,20,11
20,4,7
20,19,11
20,21,4
21,5,2
21,20,4
21,22,12
22,6,8
22,21,12
22,23,19
23,7,18
23,22,19
23,24,3
24,8,14
24,23,3
24,25,1
25,9,10
25,24,1
25,26,1
26,10,6
26,25,1
26,27,5
27,11,16
27,26,5
27,28,6
28,12,19
28,27,6
28,29,7
29,13,18
29,28,7
29,30,9
30,14,8
30,29,9
30,31,18
31,15,1
31,30,18
