source,end,weight
0,1,15
0,13,6
1,0,15
1,2,2
1,14,9
2,1,2
2,3,9
2,15,19
3,2,9
3,4,10
3,16,8
4,3,10
4,5,14
4,17,9
5,4,14
5,6,5
5,18,19
6,5,5
6,7,13
6,19,7
7,6,13
7,8,11
7,20,4
8,7,11
8,9,1
8,21,10
9,8,1
9,10,7
9,22,7
10,9,7
10,11,3
10,23,15
11,10,3
11,12,9
11,24,18
12,11,9
12,25,3
13,0,6
13,14,1
14,1,9
14,13,1
14,15,9
15,2,19
15,14,9
15,16,11
16,3,8
16,15,11
16,17,14
17,4,9
17,16,14
17,18,2
18,5,19
18,17,2
18,19,1
19,6,7
19,18,1
19,20,14
20,7,4
20,19,14
20,21,4
21,8,10
21,20,4
21,22,19
22,9,7
22,21,19
22,23,16
23,10,15
23,22,16
23,24,3
24,11,18
24,23,3
24,25,19
25,12,3
25,24,19
