source,end,weight
0,1,13
0,11,16
1,0,13
1,2,1
1,12,4
2,1,1
2,3,4
2,13,8
3,2,4
3,4,10
3,14,19
4,3,10
4,5,5
4,15,7
5,4,5
5,6,13
5,16,2
6,5,13
6,7,7
6,17,8
7,6,7
7,8,15
7,18,18
8,7,15
8,9,6
8,19,14
9,8,6
9,10,9
9,20,10
10,9,9
10,21,17
11,0,16
11,12,6
12,1,4
12,11,6
12,13,16
13,2,8
13,12,16
13,14,16
14,3,19
14,13,16
14,15,1
15,4,7
15,14,1
15,16,19
16,5,2
16,15,19
16,17,4
17,6,8
17,16,4
17,18,18
18,7,18
18,17,18
18,19,15
19,8,14
19,18,15
19,20,8
20,9,10
20,19,8
20,21,1
21,10,17
21,20,1
