source,end,weight
0,1,9
0,16,16
1,0,9
1,2,14
1,17,9
2,1,14
2,3,12
2,18,19
3,2,12
3,4,12
3,19,9
4,3,12
4,5,8
4,20,3
5,4,8
5,6,18
5,21,12
6,5,18
6,7,16
6,22,6
7,6,16
7,8,8
7,23,4
8,7,8
8,9,7
8,24,5
9,8,7
9,10,11
9,25,12
10,9,11
10,11,8
10,26,7
11,10,8
11,12,11
11,27,2
12,11,11
12,13,4
12,28,6
13,12,4
13,14,5
13,29,15
14,13,5
14,15,7
14,30,3
15,14,7
15,31,17
16,0,16
16,17,15
17,1,9
17,16,15
17,18,13
18,2,19
18,17,13
18,19,19
19,3,9
19,18,19
19,20,5
20,4,3
20,19,5
20,21,16
21,5,12
21,20,16
21,22,18
22,6,6
22,21,18
22,23,8
23,7,4
23,22,8
23,24,15
24,8,5
24,23,15
24,25,9
25,9,12
25,24,9
25,26,19
26,10,7
26,25,19
26,27,14
27,11,2
27,26,14
27,28,16
28,12,6
28,27,16
28,29,10
29,13,15
29,28,10
29,30,14
30,14,3
30,29,14
30,31,9
31,15,17
31,30,9
