scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.32,71.517,1
3,1000,1.188,70.721,9
4,1000,1.505,71.966,12
5,1000,1.645,69.903,25
6,1000,1.688,72.65,65
7,1000,1.842,73.41,120
8,1000,1.663,74.242,243
9,1000,2.246,75.153,503
10,1000,3.141,70.716,1009
11,1000,5.728,73.775,2156
12,1000,9.954,74.908,4223
13,1000,19.923,76.869,8473
14,1000,37.524,75.361,17135
15,1000,74.317,78.205,34263
16,1000,153.734,68.052,69243
17,1000,344.709,68.258,137626
18,1000,718.132,68.08,276758
19,1000,1875.68,76.29,1902457
20,1000,4124.41,774.65,12480397
