scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.481,57.7,6
3,1000,0.444,58.774,14
4,1000,0.471,57.145,37
5,1000,0.676,58.832,85
6,1000,1.173,57.116,194
7,1000,1.096,59.259,405
8,1000,1.868,57.201,856
9,1000,3.526,60.469,1765
10,1000,7.085,58.791,3593
11,1000,15.364,61.877,7407
12,1000,29.905,57.394,15101
13,1000,65.504,65.154,30619
14,1000,140.489,74.438,61797
15,1000,301.969,102.769,125253
16,1000,583.882,113.203,251860
17,1000,1198.29,52.59,507758
18,1000,2701.14,52.398,1974030
19,1000,6441.76,1773.39,6586474
20,1000,14657.7,4403.39,15457987
