scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,2.974,78.063,2
3,1000,2.556,75.39,2
4,1000,4.419,78.856,10
5,1000,4.608,79.716,10
6,1000,5.169,88.816,23
7,1000,5.108,84.066,67
8,1000,4.933,82.638,132
9,1000,5.204,83.065,275
10,1000,6.583,86.653,529
11,1000,7.793,84.95,1087
12,1000,9.618,84.561,2131
13,1000,14.81,87.395,4293
14,1000,27.273,89.699,8598
15,1000,55.566,91.863,17326
16,1000,96.815,82.024,34664
17,1000,188.127,83.832,69575
18,1000,416.787,82.172,138593
19,1000,927.593,83.74,447828
20,1000,3041.26,470.575,8333206
