scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.703,69.157,3
3,1000,1.096,71.031,6
4,1000,2.372,70.126,17
5,1000,0.847,70.368,38
6,1000,0.866,70.028,78
7,1000,2.737,71.877,145
8,1000,1.297,71.444,308
9,1000,4.195,77.768,638
10,1000,4.244,74.688,1282
11,1000,6.372,70.6,2603
12,1000,12.439,69.624,5279
13,1000,26.886,72.598,10637
14,1000,46.826,75.204,21233
15,1000,105.121,79.81,43078
16,1000,188.637,65.69,86110
17,1000,417.78,66.807,172132
18,1000,874.504,64.344,345371
19,1000,2114.95,66.448,2619885
20,1000,4822.59,65.777,13352158
