scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,2.427,95.421,1
3,1000,2.93,94.986,3
4,1000,5.089,102.888,9
5,1000,4.975,98.884,16
6,1000,5.103,102.042,29
7,1000,4.676,98.636,68
8,1000,6.551,105.38,128
9,1000,5.928,102.559,265
10,1000,6.359,105.503,514
11,1000,6.122,104.103,1064
12,1000,10.209,103.981,2140
13,1000,14.797,105.247,4313
14,1000,30.196,110.622,8631
15,1000,53.033,109.623,17307
16,1000,100.338,98.172,34658
17,1000,214.439,99.714,69201
18,1000,402.293,98.477,139121
19,1000,864.98,94.639,448353
20,1000,2846.48,419.993,8210877
