scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.338,104.742,2
3,1000,1.523,104.785,5
4,1000,1.56,105.399,12
5,1000,1.849,108.243,25
6,1000,1.579,106.097,69
7,1000,1.799,109.642,132
8,1000,2.138,109.185,276
9,1000,2.394,113.011,558
10,1000,3.596,109.993,1106
11,1000,5.67,110.28,2262
12,1000,10.242,108.491,4584
13,1000,19.313,108.443,9164
14,1000,42.93,111.429,18338
15,1000,93.999,122.029,36753
16,1000,167.72,115.948,73508
17,1000,354.192,100.513,148112
18,1000,760.961,101.072,296892
19,1000,1888.33,104.951,2080700
20,1000,4251.06,890.965,12745300
