scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.196,39.617,4
3,1000,1.287,40.225,9
4,1000,0.233,39.135,24
5,1000,1.292,40.556,47
6,1000,1.408,37.378,107
7,1000,0.589,58.924,215
8,1000,0.951,40.237,449
9,1000,2.317,36.668,915
10,1000,3.891,44.54,1898
11,1000,8.026,26.66,3851
12,1000,19.368,62.279,7783
13,1000,36.647,56.649,15719
14,1000,78.523,51.891,31687
15,1000,168.96,59.76,63731
16,1000,308.01,63.246,128062
17,1000,597.842,56.82,257131
18,1000,1294.38,56.846,601446
19,1000,3222.77,669.423,4241019
20,1000,7083.12,1965.14,14409296
