scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.162,97.367,1
3,1000,2.022,93.471,1
4,1000,3.383,103.614,3
5,1000,5.194,93.401,7
6,1000,12.826,99.419,14
7,1000,18.519,98.439,32
8,1000,8.981,97.617,65
9,1000,8.722,94.913,143
10,1000,9.123,101.589,285
11,1000,19.932,101.964,575
12,1000,15.201,101.404,1153
13,1000,17.826,101.501,2307
14,1000,26.332,106.613,4644
15,1000,46.978,108.551,9315
16,1000,75.313,93.275,18643
17,1000,122.164,93.294,37295
18,1000,265.009,102.847,74799
19,1000,513.954,115.288,149717
20,1000,1635.45,326.259,7108029
