scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,2.916,97.558,3
3,1000,2.985,92.483,4
4,1000,3.465,90.028,9
5,1000,3.964,89.464,12
6,1000,3.684,98.794,26
7,1000,4.345,91.872,70
8,1000,3.959,95.897,153
9,1000,4.158,94.242,303
10,1000,5.089,99.766,567
11,1000,6.651,94.3,1142
12,1000,8.783,102.731,2269
13,1000,16.602,107.095,4603
14,1000,27.502,104.254,9181
15,1000,52.61,107.221,18607
16,1000,93.414,94.681,37174
17,1000,208.907,97.344,74171
18,1000,420.494,96.229,149029
19,1000,934.541,94.195,531407
20,1000,3164.66,430.115,7943969
