scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.717,18.383,4
3,1000,0.23,42.362,12
4,1000,0.223,42.543,31
5,1000,0.279,40.379,68
6,1000,0.366,40.225,159
7,1000,0.612,34.413,327
8,1000,2.425,41.353,694
9,1000,2.643,18.416,1406
10,1000,5.078,42.481,2918
11,1000,11.34,43.242,5995
12,1000,20.345,43.256,12246
13,1000,43.567,24.765,24674
14,1000,98.857,22.881,49931
15,1000,198.446,35.131,100651
16,1000,444.92,78.55,202922
17,1000,938.181,31.665,408035
18,1000,2205.3,26.738,1408005
19,1000,5325.34,1411.93,6007374
20,1000,12009,3794.77,15231275
