scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.249,37.744,6
3,1000,0.255,34.793,17
4,1000,0.462,37.979,42
5,1000,0.427,35.44,98
6,1000,0.592,37.765,230
7,1000,1.161,36.068,471
8,1000,2.199,37.919,1041
9,1000,3.831,36.629,2204
10,1000,8.254,39.095,4692
11,1000,17.449,35.08,9717
12,1000,35.348,39.548,19731
13,1000,73.696,42.289,40223
14,1000,159.489,55.759,81611
15,1000,356.596,75.968,164980
16,1000,767.261,140.451,333135
17,1000,1698.56,31.594,771283
18,1000,3861.8,35.929,2719794
19,1000,8774.56,2539.96,7119689
20,1000,19845.7,6014.68,15701665
