scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.926,74.299,1
3,1000,3.773,88.839,4
4,1000,5.039,77.507,10
5,1000,8.966,82.488,17
6,1000,8.44,89.899,33
7,1000,6.157,80.317,67
8,1000,3.211,83.015,138
9,1000,10.147,82.121,286
10,1000,7.4,87.771,573
11,1000,8.956,87.064,1141
12,1000,9.747,85.261,2286
13,1000,16.611,86.407,4653
14,1000,33.24,90.841,9236
15,1000,67.043,90.632,18519
16,1000,113.585,78.294,37085
17,1000,208.381,85.585,74357
18,1000,444.219,80.697,149212
19,1000,1013.75,83.239,532103
20,1000,3252.76,453.088,8343764
