scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.594,74.569,0
3,1000,0.858,75.579,2
4,1000,2.007,87.616,4
5,1000,2.94,79.358,9
6,1000,6.122,81.747,17
7,1000,6.403,76.909,35
8,1000,6.594,84.387,64
9,1000,6.311,85.764,143
10,1000,6.225,81.125,304
11,1000,7.1,88.047,593
12,1000,9.553,82.772,1158
13,1000,13.868,104.656,2314
14,1000,22.298,88.771,4642
15,1000,40.159,100.351,9315
16,1000,71.669,80.033,18642
17,1000,135.939,86.314,37300
18,1000,266.828,94.659,74842
19,1000,573.19,102.271,148903
20,1000,1844.98,328.454,7050838
