scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.218,50.426,2
3,1000,1.339,48.451,8
4,1000,0.314,46.638,21
5,1000,1.381,37.234,43
6,1000,0.388,45.736,95
7,1000,0.57,47.737,187
8,1000,0.875,60.669,401
9,1000,2.446,63.519,826
10,1000,3.597,53.779,1692
11,1000,7.376,46.31,3424
12,1000,16.367,45.076,6953
13,1000,24.745,49.64,14025
14,1000,61.943,59.42,28265
15,1000,126.957,61.845,56786
16,1000,243.927,63.484,113983
17,1000,538.579,59.924,228964
18,1000,1110.7,46.686,496113
19,1000,2803.93,557.366,3710061
20,1000,6460.31,1746.65,14176415
