scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.959,48.556,2
3,1000,1.617,47.141,9
4,1000,1.828,47.241,20
5,1000,0.739,51.083,39
6,1000,1.95,49.588,82
7,1000,2.213,52.046,177
8,1000,1.151,49.168,374
9,1000,2.979,49.311,738
10,1000,3.438,46.724,1571
11,1000,7.085,53.138,3110
12,1000,14.565,49.562,6261
13,1000,35.988,51.47,12605
14,1000,55.205,50.574,25514
15,1000,122.401,55.728,51425
16,1000,233.035,63.137,102782
17,1000,508.386,48.894,206493
18,1000,1089.36,45.074,413657
19,1000,2389.6,407.381,3273082
20,1000,5821.2,1368.22,13881685
