scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.456,56.555,6
3,1000,0.786,57.341,12
4,1000,0.686,56.198,26
5,1000,0.824,57.277,65
6,1000,1.035,58.591,132
7,1000,1.134,59.881,274
8,1000,1.397,58.99,570
9,1000,2.583,64.131,1187
10,1000,5.005,60.676,2488
11,1000,10.409,58.983,5025
12,1000,19.25,59.285,10415
13,1000,40.521,60.855,20824
14,1000,84.115,65.303,41830
15,1000,180.145,72.089,84318
16,1000,370.08,84.123,169577
17,1000,823.794,54.921,340575
18,1000,1762.41,56.142,1072534
19,1000,4188.27,937.234,5439723
20,1000,9466.75,2695.57,14983178
