scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.088,6.164,9
3,1000,0.127,6.213,29
4,1000,0.228,6.19,84
5,1000,0.447,6.794,220
6,1000,0.946,6.487,503
7,1000,2.065,6.862,1181
8,1000,4.592,7.367,2605
9,1000,10.121,9.211,5605
10,1000,22.164,12.043,12124
11,1000,47.77,18.95,25586
12,1000,103.379,34.99,53546
13,1000,223.703,73.149,110834
14,1000,488.162,149.671,227990
15,1000,1063.7,319.175,466906
16,1000,2530.89,813.518,951998
17,1000,5778.86,6.105,1934778
18,1000,12925.8,6.211,3919907
19,1000,28579.4,10416.6,7923862
20,1000,62384.9,6.108,15988459
