scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.626,88.218,0
3,1000,0.833,86.455,2
4,1000,1.778,85.701,6
5,1000,2.684,104.079,12
6,1000,4.726,94.198,20
7,1000,5.311,91.627,40
8,1000,4.777,91.682,82
9,1000,4.877,88.854,163
10,1000,4.584,95.376,326
11,1000,6.434,96.031,659
12,1000,10.471,96.204,1325
13,1000,10.247,100.581,2649
14,1000,20.756,100.835,5298
15,1000,41.895,108.746,10621
16,1000,74.043,88.488,21525
17,1000,131.407,93.218,42607
18,1000,299.414,93.731,85288
19,1000,581.94,106.019,170797
20,1000,1693.46,332.467,7458590
