scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.707,66.422,3
3,1000,0.898,69.375,9
4,1000,0.815,68.158,21
5,1000,0.913,67.769,32
6,1000,1.14,71.029,85
7,1000,0.859,68.993,183
8,1000,1.482,72.559,396
9,1000,2.193,72.842,826
10,1000,4.06,71.303,1708
11,1000,7.076,66.927,3440
12,1000,13.857,66.987,6893
13,1000,27.466,68.989,13991
14,1000,54.654,68.964,28083
15,1000,118.121,72.51,56792
16,1000,251.885,65.573,114192
17,1000,539.667,65.152,228631
18,1000,1168.34,62.093,496126
19,1000,2702.31,513.471,3716753
20,1000,6196.41,1520.59,14176089
