scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.765,83.289,1
3,1000,1.067,83.504,5
4,1000,0.937,84.19,17
5,1000,1.111,87.801,33
6,1000,0.988,85.277,93
7,1000,1.178,87.939,173
8,1000,1.661,87.794,379
9,1000,2.183,88.038,740
10,1000,3.459,89.672,1534
11,1000,5.914,84.021,3120
12,1000,12.586,86.344,6293
13,1000,24.314,86.05,12696
14,1000,60.496,89.718,25638
15,1000,111.81,91.487,51180
16,1000,240.371,96.152,102757
17,1000,492.34,79.188,206661
18,1000,1057.17,78.561,414618
19,1000,2417.59,452.107,3280608
20,1000,5478.82,1415.49,13881995
