scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.805,73.197,2
3,1000,1.068,74.708,3
4,1000,1.874,70.819,5
5,1000,3.22,70.989,15
6,1000,2.834,71.737,25
7,1000,2.843,73.863,56
8,1000,3.065,70.738,114
9,1000,3.417,76.581,221
10,1000,4.312,76.889,456
11,1000,4.944,76.038,905
12,1000,7.843,78.656,1838
13,1000,14.224,77.315,3710
14,1000,24.887,81.186,7389
15,1000,45.706,84.971,14842
16,1000,98.888,81.829,29866
17,1000,174.76,74.591,59485
18,1000,377.023,79.105,119311
19,1000,764.4,84.34,289994
20,1000,2154.4,369.295,8543643
