scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.599,54.57,3
3,1000,2.35,55.127,6
4,1000,1.579,55.71,12
5,1000,5.044,52.44,22
6,1000,1.636,54.09,52
7,1000,3.569,53.907,112
8,1000,3.807,53.85,239
9,1000,4.275,53.919,488
10,1000,7.241,61.647,983
11,1000,7.919,52.194,1971
12,1000,12.402,57.506,3949
13,1000,32.76,52.685,7994
14,1000,59.337,55.292,16107
15,1000,113.745,62.578,32466
16,1000,162.839,44.958,64658
17,1000,366.098,54.719,129316
18,1000,754.633,55.831,259472
19,1000,1642.15,65.168,1687283
20,1000,4161.28,835.374,12219148
