scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.166,22.489,7
3,1000,0.185,22.722,23
4,1000,0.63,22.701,57
5,1000,0.359,23.204,147
6,1000,0.613,23.237,335
7,1000,1.237,23.281,697
8,1000,2.654,23.732,1517
9,1000,5.947,25.876,3165
10,1000,12.279,26.85,6685
11,1000,31.303,29.285,13951
12,1000,57.045,35.736,28614
13,1000,136.451,54.813,58668
14,1000,265.836,88.306,119602
15,1000,581.365,168.992,243307
16,1000,1218.22,290.817,492704
17,1000,2658.42,22.528,1314333
18,1000,6074.64,22.486,3393978
19,1000,13906.6,5072.1,7591723
20,1000,30584.4,10181.5,15879224
