scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.014,39.114,5
3,1000,1.562,40.373,9
4,1000,1.604,41.097,24
5,1000,1.622,53.262,51
6,1000,0.807,42.984,109
7,1000,0.98,42.105,231
8,1000,1.467,44.21,448
9,1000,2.953,43.976,912
10,1000,4.843,41.816,1905
11,1000,9.624,41.957,3857
12,1000,20.055,42.052,7819
13,1000,35.415,49.658,15731
14,1000,77.515,49.311,31834
15,1000,174.407,60.61,63467
16,1000,302.912,60.75,128447
17,1000,617.811,41.285,257500
18,1000,1375.04,41.447,604184
19,1000,3106.12,578.796,4248150
20,1000,7250.14,1811.71,14409102
