scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.883,49.476,6
3,1000,0.515,52.793,14
4,1000,0.423,49.887,35
5,1000,0.988,52.552,88
6,1000,1.187,50.841,190
7,1000,0.925,51.234,400
8,1000,2.046,51.388,837
9,1000,3.28,51.799,1761
10,1000,6.761,51.162,3540
11,1000,14.291,51.365,7344
12,1000,31.172,53.934,15078
13,1000,66.435,58.62,30619
14,1000,140.564,75.291,61797
15,1000,305.423,98.203,124632
16,1000,548.717,110.061,252079
17,1000,1204.69,47.057,507154
18,1000,2721.03,49.064,1915796
19,1000,6332.51,1646.74,6585814
20,1000,14600.1,4528.68,15457513
