scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,2.01,71.259,3
3,1000,2.251,87.087,4
4,1000,4.932,81.444,7
5,1000,4.561,81.748,17
6,1000,3.609,76.53,33
7,1000,4.958,86.039,72
8,1000,6.912,82.762,149
9,1000,5.457,80.539,287
10,1000,5.765,79.285,593
11,1000,9.204,89.845,1193
12,1000,9.893,86.426,2342
13,1000,17.518,93.177,4817
14,1000,33.557,89.795,9542
15,1000,65.088,97.398,19192
16,1000,129.008,75.506,38282
17,1000,286.207,83.29,76975
18,1000,526.755,82.609,154808
19,1000,1104.28,130.78,574402
20,1000,3651.64,430.826,8689304
