scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,2.299,94.432,2
3,1000,2.132,88.219,3
4,1000,3.533,92.396,11
5,1000,3.067,93.876,17
6,1000,3.914,97.036,34
7,1000,3.511,93.055,72
8,1000,3.681,96.251,149
9,1000,3.723,97.764,316
10,1000,3.895,94.265,630
11,1000,5.31,95.976,1232
12,1000,9.336,112.926,2553
13,1000,16.429,97.795,5161
14,1000,26.905,99.847,10335
15,1000,59.787,103.742,20748
16,1000,110.767,91.877,41544
17,1000,216.97,90.269,82914
18,1000,483.228,92.927,167003
19,1000,1034.02,144.943,705015
20,1000,3413.23,479.17,9014538
