scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,2.144,76.579,3
3,1000,2.046,79.215,3
4,1000,2.823,95.774,8
5,1000,3.74,85.87,18
6,1000,3.849,82.127,40
7,1000,4.453,96.186,89
8,1000,4.724,89.067,157
9,1000,4.089,83.089,348
10,1000,4.478,83.647,671
11,1000,6.042,83.179,1326
12,1000,9.14,95.406,2681
13,1000,17.218,84.967,5422
14,1000,33.635,85.011,10862
15,1000,64.387,89.441,21570
16,1000,114.356,78.814,43277
17,1000,235.643,78.525,86346
18,1000,520.414,78.286,173539
19,1000,1096.34,77.793,774275
20,1000,3265.45,455.915,8806130
