scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.865,100.252,1
3,1000,2.323,99.42,5
4,1000,4.106,104.198,9
5,1000,4.684,104.337,17
6,1000,2.228,101.141,44
7,1000,4.924,104.621,79
8,1000,4.998,106.011,160
9,1000,2.572,104.423,330
10,1000,5.939,107.184,644
11,1000,7.361,100.378,1322
12,1000,10.442,103.491,2691
13,1000,16.225,104.656,5406
14,1000,30.518,106.65,10846
15,1000,60.419,108.494,21631
16,1000,107.928,100.765,43273
17,1000,229.855,97.696,86182
18,1000,489.105,97.785,173342
19,1000,1093.75,98.323,774490
20,1000,3234.17,464.321,8890795
