scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,2.063,60.29,2
3,1000,1.292,57.384,7
4,1000,1.621,61.364,15
5,1000,3.85,64.631,25
6,1000,3.755,64.863,50
7,1000,4.065,59.699,108
8,1000,7.706,65.41,206
9,1000,4.257,66.255,433
10,1000,3.2,60.198,892
11,1000,5.729,66.422,1761
12,1000,11.599,61.829,3525
13,1000,23.024,62.63,7123
14,1000,45.23,63.591,14300
15,1000,83.247,72.325,28676
16,1000,179.172,55.387,57541
17,1000,332.563,63.336,115240
18,1000,716.466,65.776,230977
19,1000,1565.07,65.294,1382009
20,1000,3823.18,773.875,11633496
