scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.659,73.937,1
3,1000,1.074,67.381,2
4,1000,2.052,68.496,6
5,1000,3.518,75.067,14
6,1000,4.41,67.66,32
7,1000,4.088,67.707,46
8,1000,3.387,73.531,98
9,1000,5.356,71.198,200
10,1000,5.528,74.502,402
11,1000,5.408,77.386,807
12,1000,9.722,75.553,1607
13,1000,14.623,72.632,3237
14,1000,25.755,76.104,6564
15,1000,42.761,73.223,12990
16,1000,83.89,73.627,26211
17,1000,154.979,72.004,52332
18,1000,333.54,81.391,104559
19,1000,725.119,83.476,216582
20,1000,1952.3,329.693,8114949
