scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.154,82.466,3
3,1000,0.974,90.33,9
4,1000,1.842,83.443,24
5,1000,0.862,80.788,51
6,1000,0.977,83.906,102
7,1000,1.866,82.978,218
8,1000,1.688,85.376,461
9,1000,2.771,83.339,912
10,1000,5.336,88.286,1884
11,1000,8.962,90.661,3899
12,1000,17.426,88.007,7643
13,1000,38.316,88.578,15721
14,1000,90.724,96.507,31834
15,1000,165.917,101.763,63465
16,1000,298.211,99.184,128062
17,1000,597.163,79.701,257182
18,1000,1283.75,77.966,619116
19,1000,2970.39,650.561,4248401
20,1000,6977.78,1723.1,14409933
