scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.523,18.72,6
3,1000,0.14,22.049,11
4,1000,0.623,18.859,42
5,1000,0.279,38.652,85
6,1000,0.356,15.506,192
7,1000,0.775,32.512,395
8,1000,1.383,16.059,856
9,1000,3.314,21.236,1718
10,1000,6.241,12.676,3593
11,1000,13.514,12.904,7344
12,1000,31.07,38.619,15078
13,1000,64.403,25.645,30575
14,1000,138.387,41.759,61797
15,1000,300.052,64.864,125198
16,1000,568.791,18.404,251774
17,1000,1219.18,29.643,507610
18,1000,2849.13,17.567,1915752
19,1000,6462.99,1785.33,6586339
20,1000,14891.4,4379.86,15457803
