scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.996,85.895,3
3,1000,1.241,86.553,7
4,1000,1.106,86.027,17
5,1000,1.471,88.89,34
6,1000,1.356,87.312,74
7,1000,1.671,90.037,158
8,1000,1.989,88.735,312
9,1000,2.251,90.547,625
10,1000,3.832,90.455,1303
11,1000,6.239,88.693,2630
12,1000,12.265,86.898,5315
13,1000,23.216,88.592,10602
14,1000,51.99,93.561,21296
15,1000,98.19,92.826,43213
16,1000,194.075,80.608,85908
17,1000,414.21,80.723,171753
18,1000,892.356,80.252,345409
19,1000,2093.53,82.887,2622205
20,1000,4757.69,85.461,13352071
