scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.884,73.118,4
3,1000,0.676,70.456,9
4,1000,0.904,69.632,21
5,1000,0.808,70.73,50
6,1000,0.93,68.838,120
7,1000,1.102,72.286,238
8,1000,1.63,71.089,520
9,1000,2.771,72.673,1051
10,1000,4.575,72.082,2161
11,1000,8.969,74.559,4406
12,1000,16.93,68.002,8855
13,1000,35.133,75.625,17812
14,1000,76.768,71.365,36004
15,1000,165.764,80.588,72655
16,1000,323.844,62.249,145987
17,1000,700.61,68.509,292832
18,1000,1438.81,61.619,800564
19,1000,3422.85,785.213,4843930
20,1000,8020.34,2290.69,14698922
