scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.135,79.563,1
3,1000,2.011,80.217,2
4,1000,3.694,87.821,5
5,1000,7.323,83.609,11
6,1000,11.218,78.466,19
7,1000,7.482,81.649,40
8,1000,10.86,80.695,84
9,1000,7.73,85.439,168
10,1000,1.472,82.577,369
11,1000,8.355,87.694,670
12,1000,14.278,89.221,1347
13,1000,15.222,92.921,2699
14,1000,20.22,92.55,5414
15,1000,38.429,92.767,10876
16,1000,73.981,83.95,21721
17,1000,130.191,83.231,43477
18,1000,308.33,87.614,87451
19,1000,571.009,91.53,174258
20,1000,1789.97,318.628,7573103
