scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.683,73.009,1
3,1000,1.847,74.03,6
4,1000,2.28,75.584,6
5,1000,2.515,75.804,22
6,1000,2.182,79.105,42
7,1000,2.395,74.469,70
8,1000,2.86,76.884,176
9,1000,2.947,82.764,402
10,1000,3.829,81.899,770
11,1000,5.371,74.603,1572
12,1000,9.22,77.462,3184
13,1000,16.54,84.507,6419
14,1000,33.142,78.049,12885
15,1000,66.377,84.681,25842
16,1000,121.411,71.261,51685
17,1000,276.044,78.183,103930
18,1000,572.486,73.645,208619
19,1000,1360.86,74.077,1132595
20,1000,3437.92,578.954,10852706
