scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.153,48.065,3
3,1000,1.65,48.847,5
4,1000,2.281,45.709,17
5,1000,2.391,44.882,35
6,1000,1.008,46.362,75
7,1000,0.915,43.036,142
8,1000,1.286,48.037,312
9,1000,3.354,45.402,638
10,1000,3.807,49.733,1287
11,1000,9.763,47.933,2607
12,1000,16.557,47.057,5257
13,1000,25.151,47.825,10532
14,1000,53.282,50.667,21243
15,1000,113.467,57.142,42803
16,1000,191.482,45.431,85767
17,1000,422.788,41.675,172485
18,1000,887.672,49.549,345624
19,1000,2069.8,46.273,2619918
20,1000,4863.51,51.244,13352415
