scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.201,39.066,6
3,1000,0.205,44.649,11
4,1000,0.239,40.9,30
5,1000,0.909,46.617,64
6,1000,0.99,20.154,138
7,1000,0.526,27.505,265
8,1000,0.998,39.701,584
9,1000,2.393,40.81,1191
10,1000,4.228,50.5,2463
11,1000,8.795,33.972,5037
12,1000,18.325,33.674,10293
13,1000,41.093,42.386,20769
14,1000,84.166,34.416,41921
15,1000,196.432,46.415,84368
16,1000,375.963,57.836,169756
17,1000,786.641,43.692,341128
18,1000,1805.49,34.05,1051441
19,1000,4263.89,1043.63,5439864
20,1000,9543.31,2493,14983431
