scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.759,71.92,1
3,1000,1.953,70.518,5
4,1000,2.668,70.278,10
5,1000,5.067,73.809,18
6,1000,3.574,68.09,42
7,1000,3.717,72.576,91
8,1000,4.419,72.493,190
9,1000,4.372,74.482,363
10,1000,4.448,72.897,746
11,1000,5.717,74.317,1508
12,1000,10.826,73.992,3038
13,1000,17.46,78.074,6162
14,1000,33.322,77.287,12292
15,1000,73.537,82.71,24656
16,1000,115.212,68.276,49288
17,1000,252.104,75.106,98696
18,1000,628.728,80.054,197926
19,1000,1304.33,75.462,1027124
20,1000,3290.24,576.347,10767295
