scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.624,80.446,2
3,1000,1.066,69.136,2
4,1000,2.247,69.406,6
5,1000,2.947,78.666,10
6,1000,5.722,67.617,19
7,1000,5.854,69.557,40
8,1000,5.909,77.453,80
9,1000,4.583,81.261,167
10,1000,6.339,78.541,329
11,1000,7.301,72.833,675
12,1000,11.319,95.854,1342
13,1000,14.244,83.996,2700
14,1000,24.827,83.287,5418
15,1000,50.77,97.459,10853
16,1000,75.757,77.604,21748
17,1000,139.35,82.183,43511
18,1000,312.903,79.397,87416
19,1000,639.441,87.375,174797
20,1000,1979.72,304.313,7512245
