scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.547,73.793,2
3,1000,2.225,89.152,4
4,1000,4.412,76.912,9
5,1000,7.099,74.914,21
6,1000,5.168,73.188,42
7,1000,2.608,79.692,88
8,1000,5.906,79.347,159
9,1000,5.612,82.309,318
10,1000,8.81,79.721,655
11,1000,9.443,83.719,1329
12,1000,10.747,79.833,2656
13,1000,17.748,83.904,5383
14,1000,40.854,101.249,10771
15,1000,66.166,88.172,21473
16,1000,115.18,75.216,43115
17,1000,228.744,80.918,86771
18,1000,536.803,76.361,173716
19,1000,1068.58,79.637,756620
20,1000,3372.29,482.333,9032364
