scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.227,97.447,2
3,1000,1.59,99.005,3
4,1000,2.012,99.309,12
5,1000,2.965,99.729,23
6,1000,2.003,101.218,61
7,1000,2.024,99.704,105
8,1000,2.663,101.814,217
9,1000,2.483,104.692,430
10,1000,3.575,102.114,851
11,1000,5.653,100.16,1750
12,1000,8.987,98.39,3529
13,1000,17,99.746,7120
14,1000,33.212,102.557,14364
15,1000,64.324,106.221,28650
16,1000,134.778,93.038,57423
17,1000,288.399,92.683,115153
18,1000,627.2,92.162,232084
19,1000,1534.39,93.77,1381787
20,1000,3405.83,704.811,11623863
