scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,42.634,121.622,0
3,1000,79.15,119.385,1
4,1000,102.13,118.834,4
5,1000,135.733,130.242,8
6,1000,119.89,130.301,19
7,1000,112.032,129.562,29
8,1000,133.147,128.412,62
9,1000,149.965,127.561,111
10,1000,117.459,135.363,239
11,1000,148.758,132.884,450
12,1000,114.478,133.719,944
13,1000,126.831,145.34,1854
14,1000,155.251,133.208,3765
15,1000,147.394,151.399,7439
16,1000,166.574,122.437,14882
17,1000,251.001,119.148,29849
18,1000,315.667,129.95,59801
19,1000,574.814,124.876,119843
20,1000,1689.2,311.217,6420726
