scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.579,96.696,3
3,1000,2.053,98.605,6
4,1000,2.369,99.651,12
5,1000,2.554,102.301,20
6,1000,2.339,101.446,48
7,1000,2.954,107.589,93
8,1000,2.638,105.428,193
9,1000,3.026,104.862,350
10,1000,3.688,104.129,739
11,1000,4.919,101.45,1489
12,1000,8.68,102.218,3002
13,1000,14.97,104.454,6048
14,1000,31.636,103.113,12273
15,1000,60.331,106.589,24640
16,1000,119.165,95.384,49376
17,1000,247.622,94.97,99013
18,1000,546.58,94.59,197131
19,1000,1294.86,94.919,1027932
20,1000,3404.27,602.976,10723821
