scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.879,64.49,1
3,1000,1.091,67.68,7
4,1000,2.086,64.117,10
5,1000,1.625,64.421,28
6,1000,1.721,65.112,63
7,1000,1.729,65.329,118
8,1000,2.446,71.169,255
9,1000,2.714,73.02,484
10,1000,3.968,62.07,1039
11,1000,5.853,64.24,2099
12,1000,10.054,65.088,4231
13,1000,18.876,66.226,8476
14,1000,34.675,65.766,17010
15,1000,72.243,68.796,34357
16,1000,166.185,59.795,69216
17,1000,360.624,63.213,138091
18,1000,723.603,57.995,276329
19,1000,1931.24,60.926,1902472
20,1000,4066.82,862.261,12477685
