scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.688,98.391,1
3,1000,1.291,111.338,1
4,1000,2.104,100.635,4
5,1000,3.976,101.133,5
6,1000,6.947,111.808,16
7,1000,7.154,96.84,32
8,1000,8.26,99.209,65
9,1000,8.703,100.118,124
10,1000,6.535,108.364,253
11,1000,9.588,113.06,509
12,1000,14.044,110.622,1022
13,1000,12.818,114.338,2052
14,1000,24.276,122.333,4128
15,1000,38.217,114.052,8265
16,1000,73.996,124.282,16586
17,1000,140.144,98.445,33177
18,1000,268.882,103.216,66364
19,1000,562.868,110.024,132758
20,1000,1872.66,273.135,6816361
