scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.369,40.674,4
3,1000,1.101,40.358,12
4,1000,0.401,40.787,28
5,1000,0.444,45.557,66
6,1000,0.573,41.945,136
7,1000,1.462,42.153,289
8,1000,1.335,42.632,591
9,1000,2.47,42.76,1203
10,1000,4.402,41.529,2498
11,1000,9.854,41.29,5049
12,1000,21.741,59.477,10415
13,1000,40.661,43.582,20947
14,1000,85.122,47.94,41918
15,1000,177.923,58.779,84293
16,1000,380.141,37.894,169723
17,1000,813.889,37.952,340556
18,1000,1786,44.316,1073690
19,1000,4260.29,937.053,5439415
20,1000,9723.84,2515.23,14983312
