scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.83,45.182,3
3,1000,0.259,43.823,9
4,1000,1.487,50.53,17
5,1000,1.471,49.677,42
6,1000,1.541,45.7,88
7,1000,0.506,44.143,177
8,1000,0.786,53.613,368
9,1000,1.336,37.587,740
10,1000,3.275,47.503,1530
11,1000,6.132,48.468,3096
12,1000,14.662,54.364,6260
13,1000,27.771,42.842,12610
14,1000,59.473,51.261,25469
15,1000,109.17,52.262,51216
16,1000,231.737,59.92,102683
17,1000,530.541,45.153,206320
18,1000,1004.77,33.889,413747
19,1000,2391,437.547,3273669
20,1000,5862.06,1431.49,13882371
