scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.867,81.243,1
3,1000,1.28,80.355,3
4,1000,1.936,77.74,5
5,1000,4.042,80.571,11
6,1000,5.098,87.342,22
7,1000,6.683,80.949,45
8,1000,6.765,80.978,96
9,1000,5.474,82.417,191
10,1000,7.212,82.871,376
11,1000,5.773,88.195,767
12,1000,7.184,84.899,1538
13,1000,10.995,87.97,3085
14,1000,23.475,90.239,6181
15,1000,43.357,88.568,12378
16,1000,77.155,79.025,24817
17,1000,156.318,85.288,49690
18,1000,322.761,84.829,99419
19,1000,669.761,84.065,199079
20,1000,1992.68,315.332,7935669
