scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.673,64.925,1
3,1000,3.008,68.562,4
4,1000,1.581,65.471,12
5,1000,4.073,73.068,20
6,1000,1.497,70.3,50
7,1000,6.147,69.293,94
8,1000,4.322,66.169,185
9,1000,4.688,68.254,389
10,1000,8.121,72.623,793
11,1000,6.605,76.324,1594
12,1000,11.202,74.424,3198
13,1000,21.367,75.603,6425
14,1000,45.146,66.544,12933
15,1000,88.87,84.2,25882
16,1000,180.128,67.313,51878
17,1000,341.889,71.383,103889
18,1000,720.884,69.031,208295
19,1000,1484.12,78.502,1132291
20,1000,3821.78,639.232,11150381
