scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.311,89.865,1
3,1000,2.276,94.908,5
4,1000,3.887,93.946,8
5,1000,1.456,96.211,21
6,1000,4.127,93.734,46
7,1000,2.133,97.604,104
8,1000,4.503,91.028,189
9,1000,4.682,97.888,389
10,1000,6.968,95.445,811
11,1000,6.582,93.461,1585
12,1000,10.673,95.277,3184
13,1000,19.408,94.932,6419
14,1000,32.878,98.861,12846
15,1000,64.524,99.538,25875
16,1000,128.525,90.152,52044
17,1000,266.674,91.442,103927
18,1000,570.679,89.789,208118
19,1000,1345.08,91.072,1132554
20,1000,3539.68,650.912,11024036
