scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.422,65.707,3
3,1000,1.39,67.667,4
4,1000,2.39,72.971,10
5,1000,3.396,70.28,24
6,1000,2.463,70.58,60
7,1000,2.726,70.278,100
8,1000,3.665,97.174,203
9,1000,3.074,73.005,430
10,1000,4.125,70.468,875
11,1000,5.805,72.139,1775
12,1000,12.212,77.543,3529
13,1000,20.65,72.325,7100
14,1000,34.541,73.237,14329
15,1000,82.22,80.41,28712
16,1000,137.531,70.505,57729
17,1000,292.948,69.185,115212
18,1000,633.03,72.222,231017
19,1000,1535.29,194.064,1381794
20,1000,3791.97,646.766,11607945
