scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.295,51.535,3
3,1000,0.997,49.554,9
4,1000,1.015,46.694,14
5,1000,0.965,49.185,20
6,1000,3.017,48.695,59
7,1000,2.868,47.241,132
8,1000,4.731,54.46,273
9,1000,4.685,48.388,564
10,1000,3.45,72.015,1106
11,1000,8.378,65.602,2260
12,1000,13.296,50.765,4504
13,1000,28.38,52.56,9118
14,1000,48.537,58.376,18310
15,1000,89.814,50.777,36794
16,1000,179.575,46.127,73641
17,1000,373.074,46.301,148492
18,1000,794.923,51.291,296282
19,1000,1877.01,80.607,2080152
20,1000,4252.89,991.426,12745910
