scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.76,82.003,1
3,1000,0.945,87.086,2
4,1000,2.347,84.157,4
5,1000,2.719,85.769,10
6,1000,5.572,81.111,21
7,1000,5.637,83.633,40
8,1000,4.941,93.356,89
9,1000,3.954,86.275,173
10,1000,5.48,87.929,357
11,1000,8.809,94.222,707
12,1000,10.544,89.527,1438
13,1000,12.604,98.856,2811
14,1000,25.512,96.764,5768
15,1000,45.197,98.645,11578
16,1000,86.21,84.25,23177
17,1000,170.019,81.486,46288
18,1000,369.82,85.526,92368
19,1000,732.932,93.874,185953
20,1000,2002.87,305.392,7727867
