scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.87,72.412,1
3,1000,2.277,67.929,2
4,1000,3.861,73.392,8
5,1000,4.826,68.805,13
6,1000,5.819,71.932,28
7,1000,7.834,69.727,55
8,1000,8.977,67.22,112
9,1000,6.128,68.938,222
10,1000,1.838,75.013,442
11,1000,3.185,72.112,890
12,1000,13.439,73.931,1778
13,1000,14.672,76.14,3565
14,1000,32.32,78.46,7188
15,1000,51.577,77.276,14429
16,1000,104.553,65,28924
17,1000,203.35,67.036,57884
18,1000,411.482,68.791,116003
19,1000,844.904,67.709,270747
20,1000,2500.1,373.622,8331506
