scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.404,74.93,1
3,1000,1.504,75.299,2
4,1000,2.564,77.825,5
5,1000,10.696,74.2,12
6,1000,0.594,73.144,31
7,1000,7.646,73.562,59
8,1000,5.222,74.136,121
9,1000,8.024,72.621,245
10,1000,5.626,76.404,496
11,1000,9.081,77.543,1001
12,1000,9.276,75.358,2012
13,1000,20.497,77.694,4040
14,1000,29.962,77.133,8204
15,1000,74.524,79.69,16366
16,1000,97.853,72.431,32504
17,1000,199.031,76.991,64809
18,1000,429.105,78.029,130438
19,1000,877.146,84.247,367611
20,1000,2538.67,392.273,9018448
