scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.985,96.378,2
3,1000,1.195,89.399,3
4,1000,2.785,88.567,6
5,1000,4.096,84.585,10
6,1000,6.287,87.223,18
7,1000,7.493,95.362,36
8,1000,5.248,91.092,80
9,1000,5.534,86.852,157
10,1000,8.276,100.62,323
11,1000,7.004,101.003,646
12,1000,9.708,104.671,1293
13,1000,14.88,99.682,2596
14,1000,23.056,103.972,5195
15,1000,43.505,105.526,10421
16,1000,82.324,88.733,20850
17,1000,159.678,87.588,41775
18,1000,368.285,87.253,83508
19,1000,720.401,100.208,167742
20,1000,2212.53,347.418,7437079
